beta_Y,calibrated_beta_0,mean_response_rate,naive_bias,ipw_bias,bias_reduction_pct
0.1,-1.234130859375,0.44946645,-0.04518529945901989,-0.03550963963427339,21.413291359331776
0.25,-2.330322265625,0.44945605,-0.11778449450433859,-0.09325014448756375,20.82986399867015
0.5,-4.168701171875,0.4488811,-0.22973599235596315,-0.1855651211685982,19.22679626052005
