n_per_arm,naive_bias,naive_rmse,naive_coverage,ipw_bias,ipw_rmse,ipw_coverage
2000,-0.07134731196900584,0.09108357966215253,0.784,-0.05633959680089834,0.07946429199103451,1.0
10000,-0.06936111696091396,0.07414009501911985,0.245,-0.054883993577346635,0.06071511515057604,0.984
50000,-0.0707175975603816,0.0717265521351865,0.0,-0.05617666879345834,0.05741291277777216,0.244
